"","Beer_Names","Beer_ID","ABV","IBU","Style","Ounces","Brewery_Name","Brewery_ID","City","State"
"2077","Workers Comp Saison",1170,0.048,NA,"Saison / Farmhouse Ale",12,"Two Roads Brewing Company",436,"Stratford"," CT"
"2078","Ol' Factory Pils",1169,0.05,NA,"German Pilsener",12,"Two Roads Brewing Company",436,"Stratford"," CT"
"2079","Na Zdraví Pilsner",1283,0.048,32,"Czech Pilsener",16,"Southern Oregon Brewing Company",437,"Medford"," OR"
"2080","Nice Rack IPA",1282,0.055,65,"American IPA",16,"Southern Oregon Brewing Company",437,"Medford"," OR"
"2081","East India Pale Ale",1279,0.068,47,"English India Pale Ale (IPA)",16,"Brooklyn Brewery",438,"Brooklyn"," NY"
"2082","Brooklyn Summer Ale",756,0.045,NA,"English Pale Mild Ale",12,"Brooklyn Brewery",438,"Brooklyn"," NY"
"2083","East India Pale Ale",566,0.068,47,"English India Pale Ale (IPA)",12,"Brooklyn Brewery",438,"Brooklyn"," NY"
"2084","Brooklyn Summer Ale (2011)",328,0.045,NA,"English Pale Mild Ale",12,"Brooklyn Brewery",438,"Brooklyn"," NY"
"2085","Brooklyn Lager (16 oz.)",66,0.052,NA,"American Amber / Red Lager",16,"Brooklyn Brewery",438,"Brooklyn"," NY"
"2086","Brooklyn Lager (12 oz.)",65,0.052,NA,"American Amber / Red Lager",12,"Brooklyn Brewery",438,"Brooklyn"," NY"
"2087","Northern Hawk Owl Amber",1278,0.058,NA,"American Amber / Red Ale",12,"The Right Brain Brewery",439,"Traverse City"," MI"
"2088","CEO Stout",1277,0.059,NA,"American Stout",16,"The Right Brain Brewery",439,"Traverse City"," MI"
"2089","Will Power Pale Ale",1276,0.047,NA,"American Pale Ale (APA)",16,"The Right Brain Brewery",439,"Traverse City"," MI"
"2090","Longboard Island Lager",1274,0.046,18,"American Amber / Red Lager",24,"Kona Brewing Company",440,"Kona"," HI"
"2091","Longboard Island Lager",1220,0.046,18,"American Amber / Red Lager",16,"Kona Brewing Company",440,"Kona"," HI"
"2092","Longboard Island Lager",1070,0.046,18,"American Amber / Red Lager",12,"Kona Brewing Company",440,"Kona"," HI"
"2093","Longboard Island Lager",590,0.046,18,"American Amber / Red Lager",12,"Kona Brewing Company",440,"Kona"," HI"
"2094","SNO White Ale",1273,0.048,NA,"Witbier",16,"MillKing It Productions",441,"Royal Oak"," MI"
"2095","BRIK Irish Red Ale",365,0.048,NA,"Irish Red Ale",16,"MillKing It Productions",441,"Royal Oak"," MI"
"2096","AXL Pale Ale",273,NA,NA,"American Pale Ale (APA)",16,"MillKing It Productions",441,"Royal Oak"," MI"
"2097","Rustic Red",1268,0.052,23,"Irish Red Ale",16,"Pateros Creek Brewing Company",442,"Fort Collins"," CO"
"2098","Stimulator Pale Ale",697,0.053,48,"American Pale Ale (APA)",16,"Pateros Creek Brewing Company",442,"Fort Collins"," CO"
"2099","Old Town Ale",696,0.045,22,"Kölsch",16,"Pateros Creek Brewing Company",442,"Fort Collins"," CO"
"2100","Car 21",695,0.044,28,"English Bitter",16,"Pateros Creek Brewing Company",442,"Fort Collins"," CO"
"2101","Cache La Porter",694,0.05,24,"American Porter",16,"Pateros Creek Brewing Company",442,"Fort Collins"," CO"
"2102","O'Fallon Pumpkin Beer",1264,0.055,NA,"Pumpkin Ale",12,"O'Fallon Brewery",443,"O'Fallon"," MO"
"2103","5 Day IPA",1258,0.061,66,"American IPA",12,"O'Fallon Brewery",443,"O'Fallon"," MO"
"2104","O'Fallon Wheach",128,0.051,7,"Fruit / Vegetable Beer",12,"O'Fallon Brewery",443,"O'Fallon"," MO"
"2105","Marble Pilsner",1262,0.047,NA,"German Pilsener",12,"Marble Brewery",444,"Albuquerque"," NM"
"2106","Marble India Pale Ale",845,0.062,NA,"American IPA",12,"Marble Brewery",444,"Albuquerque"," NM"
"2107","Jack Pine Savage",1257,0.053,43,"American Pale Ale (APA)",16,"Big Wood Brewery",445,"Vadnais Heights"," MN"
"2108","Forest Fire Imperial Smoked Rye",1256,0.099,85,"Rye Beer",16,"Big Wood Brewery",445,"Vadnais Heights"," MN"
"2109","Bad Axe Imperial IPA",1255,0.098,76,"American Double / Imperial IPA",16,"Big Wood Brewery",445,"Vadnais Heights"," MN"
"2110","Morning Wood",986,0.055,35,"Oatmeal Stout",16,"Big Wood Brewery",445,"Vadnais Heights"," MN"
"2111","Bark Bite IPA",985,0.066,50,"American IPA",16,"Big Wood Brewery",445,"Vadnais Heights"," MN"
"2112","Trail Maker Pale Ale",1251,0.065,NA,"American Pale Ale (APA)",12,"Howard Brewing Company",446,"Lenoir"," NC"
"2113","Action Man Lager",1250,0.055,NA,"Vienna Lager",12,"Howard Brewing Company",446,"Lenoir"," NC"
"2114","Cranberry Blend",1246,0.049,NA,"Cider",12,"Downeast Cider House",447,"Leominster"," MA"
"2115","Orignal Blend",977,0.051,NA,"Cider",12,"Downeast Cider House",447,"Leominster"," MA"
"2116","Big Nose",1242,0.073,50,"American IPA",12,"Swamp Head Brewery",448,"Gainesville"," FL"
"2117","Cotton Mouth",1241,0.05,10,"Witbier",12,"Swamp Head Brewery",448,"Gainesville"," FL"
"2118","Stump Knocker Pale Ale",1240,0.056,35,"American Pale Ale (APA)",12,"Swamp Head Brewery",448,"Gainesville"," FL"
"2119","Midnight Oil",1239,0.05,38,"Oatmeal Stout",12,"Swamp Head Brewery",448,"Gainesville"," FL"
"2120","Wild Night",1238,0.059,18,"Cream Ale",12,"Swamp Head Brewery",448,"Gainesville"," FL"
"2121","Pit Stop Chocolate Porter",1237,0.037,34,"American Porter",12,"Mavericks Beer Company",449,"Half Moon Bay"," CA"
"2122","Pace Setter Belgian Style Wit",1236,0.037,21,"Witbier",12,"Mavericks Beer Company",449,"Half Moon Bay"," CA"
"2123","Back in the Saddle Rye Pale Ale",1047,0.037,53,"American Pale Ale (APA)",12,"Mavericks Beer Company",449,"Half Moon Bay"," CA"
"2124","Dodgy Knight Imperial IPA",1229,0.08,95,"American Double / Imperial IPA",12,"TailGate Beer",450,"San Diego"," CA"
"2125","TailGate Saison",1164,0.05,NA,"Saison / Farmhouse Ale",12,"TailGate Beer",450,"San Diego"," CA"
"2126","TailGate IPA",663,0.05,44,"American IPA",24,"TailGate Beer",450,"San Diego"," CA"
"2127","TailGate IPA",662,0.05,44,"American IPA",12,"TailGate Beer",450,"San Diego"," CA"
"2128","TailGate Hefeweizen",623,0.049,28,"Hefeweizen",24,"TailGate Beer",450,"San Diego"," CA"
"2129","Blacktop Blonde",622,0.05,19,"American Blonde Ale",24,"TailGate Beer",450,"San Diego"," CA"
"2130","Blacktop Blonde",362,0.05,19,"American Blonde Ale",12,"TailGate Beer",450,"San Diego"," CA"
"2131","TailGate Hefeweizen",361,0.049,28,"Hefeweizen",12,"TailGate Beer",450,"San Diego"," CA"
"2132","Hoppy Bitch IPA",1227,0.063,NA,"American IPA",16,"Northwest Brewing Company",451,"Pacific"," WA"
"2133","Three Skulls Ale Pale Ale",1226,0.063,42,"American Pale Ale (APA)",16,"Northwest Brewing Company",451,"Pacific"," WA"
"2134","Dank IPA",1224,0.065,NA,"American IPA",16,"Dad & Dude's Breweria",452,"Aurora"," CO"
"2135","Dank IPA (2012)",964,0.065,NA,"American IPA",16,"Dad & Dude's Breweria",452,"Aurora"," CO"
"2136","All American Blonde Ale",1219,0.05,NA,"American Blonde Ale",12,"Centennial Beer Company",453,"Edwards"," CO"
"2137","All American Red Ale",1218,0.05,NA,"American Amber / Red Ale",12,"Centennial Beer Company",453,"Edwards"," CO"
"2138","Chuli Stout",1213,0.059,55,"Irish Dry Stout",12,"Denali Brewing Company",454,"Talkeetna"," AK"
"2139","Mother Ale",1159,0.056,46,"American Blonde Ale",12,"Denali Brewing Company",454,"Talkeetna"," AK"
"2140","Twister Creek India Pale Ale",947,0.065,71,"American IPA",12,"Denali Brewing Company",454,"Talkeetna"," AK"
"2141","Single Engine Red",929,0.058,46,"Irish Red Ale",12,"Denali Brewing Company",454,"Talkeetna"," AK"
"2142","Mirror Pond Pale Ale",1210,0.05,40,"American Pale Ale (APA)",12,"Deschutes Brewery",455,"Bend"," OR"
"2143","Dam Lager",1207,0.045,NA,"American Amber / Red Lager",12,"Sunken City Brewing Company",456,"Hardy"," VA"
"2144","Red Clay IPA",1206,0.07,NA,"American IPA",12,"Sunken City Brewing Company",456,"Hardy"," VA"
"2145","Hips Don't Lie",1204,0.062,NA,"Hefeweizen",16,"Lucette Brewing Company",457,"Menominie"," WI"
"2146","Ride Again Pale Ale",1122,0.052,NA,"American Pale Ale (APA)",16,"Lucette Brewing Company",457,"Menominie"," WI"
"2147","The Farmer's Daughter",700,0.048,NA,"American Blonde Ale",16,"Lucette Brewing Company",457,"Menominie"," WI"
"2148","Bomber Mountain Amber Ale (2013)",1200,0.046,20,"American Amber / Red Ale",12,"The Black Tooth Brewing Company",458,"Sheridan"," WY"
"2149","Indian Paintbrush IPA",1199,0.07,75,"American IPA",12,"The Black Tooth Brewing Company",458,"Sheridan"," WY"
"2150","Saddle Bronc Brown Ale (2013)",1198,0.048,16,"English Brown Ale",12,"The Black Tooth Brewing Company",458,"Sheridan"," WY"
"2151","Wagon Box Wheat Beer",1197,0.059,15,"American Pale Wheat Ale",12,"The Black Tooth Brewing Company",458,"Sheridan"," WY"
"2152","Skilak Scottish Ale",1193,0.058,NA,"Scottish Ale",12,"Kenai River Brewing Company",459,"Soldotna"," AK"
"2153","Peninsula Brewers Reserve (PBR)",1187,0.05,15,"American Blonde Ale",12,"Kenai River Brewing Company",459,"Soldotna"," AK"
"2154","Sunken Island IPA",349,0.068,NA,"American IPA",12,"Kenai River Brewing Company",459,"Soldotna"," AK"
"2155","Skilak Scottish Ale (2011)",348,0.058,NA,"Scottish Ale",12,"Kenai River Brewing Company",459,"Soldotna"," AK"
"2156","River North White Ale",1180,0.05,NA,"Witbier",16,"River North Brewery",460,"Denver"," CO"
"2157","River North Ale",1179,0.05,NA,"American Amber / Red Ale",16,"River North Brewery",460,"Denver"," CO"
"2158","77 Fremont Select Spring Session IPA",1174,0.04,NA,"American IPA",12,"Fremont Brewing Company",461,"Seattle"," WA"
"2159","Fremont Organic Pale Ale",1116,0.045,NA,"American Pale Ale (APA)",12,"Fremont Brewing Company",461,"Seattle"," WA"
"2160","Abominable Ale",994,0.08,NA,"English Strong Ale",12,"Fremont Brewing Company",461,"Seattle"," WA"
"2161","Harvest Ale",901,0.065,35,"Saison / Farmhouse Ale",12,"Fremont Brewing Company",461,"Seattle"," WA"
"2162","Fremont Summer Ale",875,0.065,45,"American Pale Ale (APA)",12,"Fremont Brewing Company",461,"Seattle"," WA"
"2163","Universale Pale Ale",858,0.056,30,"American Pale Ale (APA)",12,"Fremont Brewing Company",461,"Seattle"," WA"
"2164","Interurban IPA",857,0.065,80,"American IPA",12,"Fremont Brewing Company",461,"Seattle"," WA"
"2165","Mo's Gose",1172,0.052,10,"Gose",16,"Armstrong Brewing Company",462,"South San Francisco"," CA"
"2166","Colorado Native",1165,0.055,26,"American Amber / Red Lager",12,"AC Golden Brewing Company",463,"Golden"," CO"
"2167","Colorado Native (2011)",431,0.055,26,"American Amber / Red Lager",12,"AC Golden Brewing Company",463,"Golden"," CO"
"2168","La Frontera Premium IPA",1158,0.078,NA,"American IPA",12,"Big Bend Brewing Company",464,"Alpine"," TX"
"2169","Tejas Lager",1157,0.047,NA,"Czech Pilsener",12,"Big Bend Brewing Company",464,"Alpine"," TX"
"2170","Number 22 Porter",1156,0.064,NA,"American Porter",12,"Big Bend Brewing Company",464,"Alpine"," TX"
"2171","Big Bend Hefeweizen",1155,0.056,NA,"Hefeweizen",12,"Big Bend Brewing Company",464,"Alpine"," TX"
"2172","Terlingua Gold",1154,0.06,NA,"American Blonde Ale",12,"Big Bend Brewing Company",464,"Alpine"," TX"
"2173","Descender IPA",1109,0.07,70,"American IPA",12,"Good Life Brewing Company",465,"Bend"," OR"
"2174","Sweet As Pacific Ale",1108,0.06,18,"American Pale Wheat Ale",12,"Good Life Brewing Company",465,"Bend"," OR"
"2175","Nut Sack Imperial Brown Ale",1107,0.07,NA,"American Brown Ale",12,"Engine 15 Brewing",466,"Jacksonville Beach"," FL"
"2176","Pablo Beach Pale Ale",1106,0.05,30,"American Pale Ale (APA)",12,"Green Room Brewing",467,"Jacksonville"," FL"
"2177","Tampa Pale Ale",1096,NA,NA,"American Pale Ale (APA)",12,"Brindle Dog Brewing Company",468,"Tampa Bay"," FL"
"2178","Orange Grove Wheat Ale",1095,NA,NA,"American Pale Wheat Ale",12,"Brindle Dog Brewing Company",468,"Tampa Bay"," FL"
"2179","Side Kick Kölsch",1087,0.05,NA,"Kölsch",12,"Peace Tree Brewing Company",469,"Knoxville"," IA"
"2180","RecreationAle",1082,0.047,42,"American Pale Ale (APA)",12,"Terrapin Brewing Company",470,"Athens"," GA"
"2181","Pete's ESP Lager (1998)",1062,0.051,NA,"American Pale Lager",12,"Pete's Brewing Company",471,"San Antonio"," TX"
"2182","Pete's Wicked Summer Brew (1995)",1061,0.047,NA,"American Pale Wheat Ale",12,"Pete's Brewing Company",471,"San Antonio"," TX"
"2183","Pete's Wicked Bohemian Pilsner (1997)",1060,0.049,NA,"Czech Pilsener",12,"Pete's Brewing Company",471,"San Antonio"," TX"
"2184","Pete's Wicked Pale Ale (1997)",1056,NA,NA,"American Pale Ale (APA)",12,"Pete's Brewing Company",471,"San Antonio"," TX"
"2185","Pete's Wicked Summer Brew (2002)",1055,0.047,NA,"American Pale Wheat Ale",12,"Pete's Brewing Company",471,"San Antonio"," TX"
"2186","Pete's Wicked Summer Brew (1997)",1054,0.047,NA,"American Pale Wheat Ale",12,"Pete's Brewing Company",471,"San Antonio"," TX"
"2187","Pete's Wicked Summer Brew (1996)",1053,0.047,NA,"American Pale Wheat Ale",12,"Pete's Brewing Company",471,"San Antonio"," TX"
"2188","The Hole in Hadrian's Wall",1059,0.095,19,"Scottish Ale",16,"Okoboji Brewing Company",472,"Spirit Lake"," IA"
"2189","33 Select Brown Ale",1058,0.065,26,"American Brown Ale",16,"Okoboji Brewing Company",472,"Spirit Lake"," IA"
"2190","Midwest Charm Farmhouse Ale",603,0.06,29,"Saison / Farmhouse Ale",16,"Okoboji Brewing Company",472,"Spirit Lake"," IA"
"2191","Boji Blue Pale Ale",602,0.05,45,"American Pale Ale (APA)",16,"Okoboji Brewing Company",472,"Spirit Lake"," IA"
"2192","Winter Games Select #32 Stout",601,0.057,26,"American Stout",16,"Okoboji Brewing Company",472,"Spirit Lake"," IA"
"2193","Boji Beach Golden Rye Ale",600,0.05,23,"Rye Beer",16,"Okoboji Brewing Company",472,"Spirit Lake"," IA"
"2194","South Ridge Amber Ale",1057,0.06,31,"American Amber / Red Ale",16,"Crystal Springs Brewing Company",473,"Boulder"," CO"
"2195","Summertime Ale",681,0.052,23,"Kölsch",16,"Crystal Springs Brewing Company",473,"Boulder"," CO"
"2196","Underachiever",1039,0.05,NA,"American Adjunct Lager",16,"Engine House 9",474,"Tacoma"," WA"
"2197","Big Island Shandy",1027,0.05,NA,"Shandy",16,"Tonka Beer Company",475,"Minnetonka"," MN"
"2198","Preservation IPA",1026,0.068,NA,"American IPA",16,"Tonka Beer Company",475,"Minnetonka"," MN"
"2199","Watership Brown Ale",1021,0.072,55,"American Brown Ale",12,"Red Hare Brewing Company",476,"Marietta"," GA"
"2200","Gangway IPA",938,0.062,55,"American IPA",12,"Red Hare Brewing Company",476,"Marietta"," GA"
"2201","Long Day Lager",715,0.049,NA,"Czech Pilsener",12,"Red Hare Brewing Company",476,"Marietta"," GA"
"2202","Orange Wheat",1016,0.046,17,"Fruit / Vegetable Beer",12,"Hangar 24 Craft Brewery",477,"Redlands"," CA"
